Jon Allen,ylixir,,FALSE,Fargo/ ND,united states
,monicaaluko,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Andy Gajetzki,andygajetzki,http://www.gajetzki.com,FALSE,Alberta/ Canada,canada
Υоаnn B.,yobrx,https://yoann.brieux.net,FALSE,Oignies/ France,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Mizunashi Mana,mizunashi-mana,,FALSE,Tokyo,japan
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Christoph M. Becker,cmb69,,FALSE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Tyson Andre,TysonAndre,,TRUE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Christoph M. Becker,cmb69,,FALSE,,blank field
Dmitry Stogov,dstogov,,FALSE,Russia,russia
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Kʜᴀɴ (ಠ_ಠ),codemascot,codemascot.com,FALSE,Dhaka/ Bangladesh,bangladesh
Christoph M. Becker,cmb69,,FALSE,,blank field
Christoph M. Becker,cmb69,,FALSE,,blank field
Pierrick Charron,adoy,http://www.adoy.net,TRUE,Montréal,canada
Christoph M. Becker,cmb69,,FALSE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Pierrick Charron,adoy,http://www.adoy.net,TRUE,Montréal,canada
,bugreportuser,,FALSE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
cmp,camporter,,FALSE,,blank field
Michael Moravec,Majkl578,https://majkl.me,FALSE,Prague/ Czech Republic,czechia
,bugreportuser,,FALSE,,blank field
Pedro Magalhães,pmmaga,,TRUE,Sintra/ Portugal,Undefined
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Manuel Mausz,manuelm,https://manuel.mausz.at/,FALSE,Vienna/ Austria,austria
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Christoph M. Becker,cmb69,,FALSE,,blank field
Mitchell Conkin,mconkin,,FALSE,Santa Clara/ CA,cuba
,truestblue,,FALSE,,blank field
twosee,twose,twosee.cn,FALSE,ShangHai,china
