scpeters,10,13,blank field
dependabot[bot],43,46,blank field
GauthamGoli,69,69,blank field
z3ntu,1,1,austria
MikeMcQuaid,396,410,united kingdom
commitay,89,95,blank field
jonchang,9,9,united states
EricFromCanada,13,13,blank field
reitermarkus,264,272,austria
sjackman,80,86,canada
SMillerDev,1,2,united states
vszakats,8,9,blank field
colindean,1,1,united states
hakusaro,0,1,el salvador
amancevice,6,6,united states
thelastofme,0,1,blank field
lembacon,6,9,china
ryenus,0,3,blank field
javian,4,4,sweden
justinas2,0,1,blank field
alecclarke,2,2,blank field
JBallin,5,6,blank field
amyspark,16,19,argentina
alyssais,18,23,united kingdom
Sea-n,0,1,taiwan
aimileus,1,1,blank field
dpo,1,1,canada
andres-lowrie,0,1,Undefined
samuela,1,1,Undefined
brainy,0,1,blank field
kralf,0,1,switzerland
MartinDelille,0,1,france
alebcay,5,5,Undefined
fxcoudert,4,4,blank field
yurikoles,1,1,Undefined
alexbostock,2,2,blank field
zgracem,1,1,Undefined
DomT4,46,54,united kingdom
azure-pipelines[bot],1,1,blank field
ericmarkmartin,1,1,united states
cblecker,1,1,canada
woodruffw,18,22,united states
jamescostian,1,1,united states
xu-cheng,3,3,hong kong
claui,7,9,Undefined
zdcthomas,1,1,blank field
MTCoster,0,1,Undefined
directhex,0,1,Undefined
iMichka,3,6,france
maxim-belkin,23,37,Undefined
kabel,4,6,argentina
bwarminski,0,1,blank field
RandomDSdevel,0,1,united states
envygeeks,0,1,united states
chrmoritz,2,4,germany
mistydemeo,12,16,canada
brianmorton,1,1,canada
retokromer,3,3,Undefined
ilovezfs,57,64,blank field
ffeu,1,1,blank field
apjanke,26,30,united states
joshka,0,1,united states
afnanenayet,1,1,jamaica
yan12125,0,1,taiwan
jacktose,1,1,united states
errordeveloper,1,1,united kingdom
gigaflw,0,1,blank field
medismailben,0,1,france
lucafavatella,1,1,blank field
zbeekman,0,1,united states
ndegory,0,1,blank field
n054,0,2,united states
lukertty,1,1,china
terinjokes,0,1,united states
anjakefala,1,1,blank field
tschoonj,3,4,united kingdom
vitorgalvao,1,1,blank field
miedzinski,0,1,poland
mbrickn,1,1,Undefined
dougal,1,1,united kingdom
mrfoto,2,2,slovenia
poochiethecat,0,1,blank field
tjt263,1,1,blank field
motuvr,0,1,united states
weikengchen,0,1,blank field
rayhamel,1,1,Undefined
elyscape,1,1,philippines
stvhwrd,1,1,malta
jeroen,0,1,Undefined
stefansundin,1,1,blank field
in9lude,0,1,japan
HaraldNordgren,1,1,sweden
bukzor,4,4,united states
ryangreenberg,1,1,united states
danielbayley,0,1,Undefined
stek29,2,2,russia
SaberUK,1,1,blank field
jppiiroinen,0,1,finland
ndryden,1,1,blank field
lboogaard,1,1,blank field
teddywing,1,1,blank field
cpcallen,0,1,united kingdom
eedwards-sk,0,1,united states
aw1621107,1,1,united states
rdeva31,0,1,blank field
arthurnn,0,1,canada
rednoah,1,1,thailand
sferrini,0,1,united kingdom
yous,1,1,Undefined
alldne,0,1,korea
sbol-coolblue,1,1,netherlands
xiehuc,1,1,Undefined
kant,1,1,Undefined
sesam,2,4,Undefined
armcburney,1,1,united states
rakkesh,1,1,Undefined
jacknagel,1,1,united states
shigemk2,1,1,japan
ralic,0,1,united states
mchao409,1,1,blank field
khenriks,0,1,blank field
SeanPrashad,1,2,blank field
Quesar,1,1,latvia
laurent22,1,1,united kingdom
brodybits,0,1,Undefined
barreyra,1,1,blank field
lbergelson,1,1,united states
Noctem,1,1,united states
n0ts,0,2,japan
Red54,0,1,china
melnikaite,0,1,blank field
barthand,1,1,poland
wendorf,2,2,blank field
simono,1,1,germany
zmwangx,2,2,united states
issyl0,3,3,united kingdom
