Undefined,2047
sweden,113
japan,223
united states,2837
united kingdom,595
guatemala,2
hong kong,18
poland,150
china,378
france,345
norway,43
brazil,182
australia,256
romania,32
germany,546
ireland,59
italy,52
canada,343
philippines,60
spain,99
new zealand,94
mexico,43
israel,48
portugal,43
india,322
egypt,12
pakistan,39
bulgaria,21
belarus,25
russia,241
bangladesh,19
argentina,40
austria,59
taiwan,55
colombia,19
finland,60
malta,17
laos,1
thailand,22
iran,26
indonesia,46
singapore,43
ukraine,78
netherlands,176
somalia,1
uruguay,22
switzerland,115
belgium,50
denmark,31
panama,13
venezuela,13
estonia,20
turkey,46
croatia,15
nicaragua,4
slovakia,8
ghana,5
cambodia,1
morocco,14
south africa,31
blank field,4441
cuba,12
slovenia,20
united arab emirates,7
uganda,4
hungary,22
azerbaijan,3
nepal,9
czechia,39
mauritius,1
angola,1
costa rica,4
montenegro,2
greece,31
norfolk island,2
chile,10
vietnam,14
liberia,9
saudi arabia,5
nigeria,16
malaysia,9
dominican republic,10
iceland,8
timor-leste,1
kuwait,3
lithuania,15
fiji,1
kyrgyzstan,2
georgia,5
tunisia,2
congo (kinshasa),1
mongolia,2
kenya,8
algeria,4
macedonia,2
latvia,7
el salvador,3
jamaica,3
sri lanka,10
zimbabwe,1
afghanistan,3
moldova,5
liechtenstein,1
lebanon,3
luxembourg,5
armenia,4
cura袯,1
bhutan,1
burma,1
kosovo,1
maldives,1
mozambique,1
paraguay,2
peru,6
rwanda,1
serbia,9
ecuador,1
saint vincent and the grenadines,1
korea,52
gibraltar,1
cyprus,2
kazakhstan,2
qatar,1
