Jordan Rose,jrose-apple,,True,
Arnold Schwaighofer,aschwaighofer,,True,
Richard Wei,rxwei,,True,Bay Area
Saleem Abdulrasool,compnerd,,True,
Gogul Balakrishnan,bgogul,https://www.cs.wisc.edu/~bgogul,True,
Dan Zheng,dan-zheng,,True,Purdue University
Dan Zheng,dan-zheng,,True,Purdue University
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Harlan Haskins,harlanhaskins,https://www.harlanhaskins.com,True,"Cupertino, CA"
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Xi Ge,nkcsgexi,https://twitter.com/xge_apple,True,"Cupertino, CA, USA"
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Arnold Schwaighofer,aschwaighofer,,True,
Arnold Schwaighofer,aschwaighofer,,True,
,adrian-prantl,,True,
Jordan Rose,jrose-apple,,True,
Saleem Abdulrasool,compnerd,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Saleem Abdulrasool,compnerd,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Raj Barik,rajbarik,,True,"Palo Alto, CA"
Jordan Rose,jrose-apple,,True,
Rintaro Ishizaki,rintaro,http://stackoverflow.com/users/3804019/rintaro,True,
Richard Wei,rxwei,,True,Bay Area
Doug Gregor,DougGregor,,True,
,eeckstein,,True,
James Bradbury,jekbradbury,,True,
Andrew Trick,atrick,,True,
Jordan Rose,jrose-apple,,True,
Saleem Abdulrasool,compnerd,,True,
Pavol Vaskovic,palimondo,http://pali.sk,True,"Kosice, Slovakia"
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Doug Gregor,DougGregor,,True,
Philippe Hausler,phausler,,False,San Francisco
Doug Gregor,DougGregor,,True,
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Dan Zheng,dan-zheng,,True,Purdue University
Rintaro Ishizaki,rintaro,http://stackoverflow.com/users/3804019/rintaro,True,
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Saleem Abdulrasool,compnerd,,True,
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Saleem Abdulrasool,compnerd,,True,
Andrew Trick,atrick,,True,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Doug Gregor,DougGregor,,True,
Richard Wei,rxwei,,True,Bay Area
Doug Gregor,DougGregor,,True,
Raj Barik,rajbarik,,True,"Palo Alto, CA"
Saleem Abdulrasool,compnerd,,True,
Pavol Vaskovic,palimondo,http://pali.sk,True,"Kosice, Slovakia"
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Dave Abrahams,dabrahams,http://daveabrahams.com,True,"Cupertino, CA"
Dave Abrahams,dabrahams,http://daveabrahams.com,True,"Cupertino, CA"
Richard Wei,rxwei,,True,Bay Area
Saleem Abdulrasool,compnerd,,True,
Nate Cook,natecook1000,http://natecook.com/,True,"Evanston, IL"
,eeckstein,,True,
Joe Shajrawi,shajrawi,,True,"Cupertino, CA"
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Dan Zheng,dan-zheng,,True,Purdue University
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
,pschuh,,True,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Saleem Abdulrasool,compnerd,,True,
Doug Gregor,DougGregor,,True,
Arnold Schwaighofer,aschwaighofer,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Arnold Schwaighofer,aschwaighofer,,True,
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
,marcrasi,,False,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Suyash Srijan,theblixguy,http://www.suyashsrijan.com,True,"London, United Kingdom"
John McCall,rjmccall,,True,
Saleem Abdulrasool,compnerd,,True,
Raj Barik,rajbarik,,True,"Palo Alto, CA"
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
,eeckstein,,True,
Doug Gregor,DougGregor,,True,
John Holdsworth,johnno1962,http://johnholdsworth.com,True,London Docklands
Johannes Weiss,weissi,https://twitter.com/johannesweiss,True,"London, UK"
Saleem Abdulrasool,compnerd,,True,
Arnold Schwaighofer,aschwaighofer,,True,
Arnold Schwaighofer,aschwaighofer,,True,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
David Goldman,DavidGoldman,,True,Lost in NPSPACE
Arnold Schwaighofer,aschwaighofer,,True,
Richard Wei,rxwei,,False,Bay Area
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Saleem Abdulrasool,compnerd,,True,
Michael Ilseman,milseman,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Doug Gregor,DougGregor,,True,
Andrew Trick,atrick,,True,
Andrew Trick,atrick,,True,
Arnold Schwaighofer,aschwaighofer,,True,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Saleem Abdulrasool,compnerd,,False,
Davide Italiano,dcci,,True,
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Dan Zheng,dan-zheng,,True,Purdue University
Saleem Abdulrasool,compnerd,,True,
Richard Wei,rxwei,,True,Bay Area
,marcrasi,,True,
Richard Wei,rxwei,,True,Bay Area
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
,marcrasi,,True,
Dan Zheng,dan-zheng,,True,Purdue University
,marcrasi,,True,
,marcrasi,,True,
Richard Wei,rxwei,,True,Bay Area
brett koonce,brettkoonce,brettkoonce.com,True,sf
Saleem Abdulrasool,compnerd,,True,
,marcrasi,,True,
Michael Ilseman,milseman,,True,
Richard Wei,rxwei,,True,Bay Area
Dan Zheng,dan-zheng,,True,Purdue University
,marcrasi,,True,
Saleem Abdulrasool,compnerd,,True,
,marcrasi,,True,
Valeriy Van,valeriyvan,,True,Berlin/Odessa
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Dan Zheng,dan-zheng,,True,Purdue University
Dan Zheng,dan-zheng,,True,Purdue University
Brent Royal-Gordon,brentdax,,True,"Cupertino, CA"
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Dennis Vennink,dennisvennink,,True,"Rotterdam, The Netherlands"
Nathan Hawes,nathawes,,True,"Cupertino, CA"
Andreas Jönsson,nordicio,nordic.io,True,Sweden
Andreas Jönsson,nordicio,nordic.io,True,Sweden
Saleem Abdulrasool,compnerd,,True,
Dan Zheng,dan-zheng,,True,Purdue University
Dan Zheng,dan-zheng,,True,Purdue University
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
John McCall,rjmccall,,False,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Pavol Vaskovic,palimondo,http://pali.sk,True,"Kosice, Slovakia"
Nathan Hawes,nathawes,,True,"Cupertino, CA"
Saleem Abdulrasool,compnerd,,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
David Smith,Catfish-Man,http://dscoder.com,False,
Pavol Vaskovic,palimondo,http://pali.sk,True,"Kosice, Slovakia"
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Doug Gregor,DougGregor,,True,
Andrew Trick,atrick,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Mingsheng Hong,mhong,,True,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Andrew Trick,atrick,,True,
Richard Wei,rxwei,,True,Bay Area
Richard Wei,rxwei,,True,Bay Area
Rintaro Ishizaki,rintaro,http://stackoverflow.com/users/3804019/rintaro,True,
Richard Wei,rxwei,,True,Bay Area
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Robert Widmann,CodaFi,https://twitter.com/CodaFi_,True,Pittsburgh
Jordan Rose,jrose-apple,,True,
Richard Wei,rxwei,,True,Bay Area
Greg Parker,gparker42,http://sealiesoftware.com/blog/,True,
Jordan Rose,jrose-apple,,True,
Pavol Vaskovic,palimondo,http://pali.sk,True,"Kosice, Slovakia"
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Max Moiseev,moiseev,http://twitter.com/moiseev,True,"Cupertino, CA"
John McCall,rjmccall,,True,
Innovimax,innovimax,http://www.innovimax.fr,True,"Paris, France"
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Daniel Rodríguez Troitiño,drodriguez,,True,"Bay Area, CA"
,ravikandhadai,,True,
James Bradbury,jekbradbury,,True,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Nathan Hawes,nathawes,,True,"Cupertino, CA"
Xi Ge,nkcsgexi,https://twitter.com/xge_apple,True,"Cupertino, CA, USA"
Michael Munday,mundaym,http://www-03.ibm.com/systems/z/os/linux/,True,"London, UK"
Karoy Lorentey,lorentey,https://twitter.com/lorentey,False,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Pavol Vaskovic,palimondo,http://pali.sk,True,"Kosice, Slovakia"
Mingsheng Hong,mhong,,True,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Richard Wei,rxwei,,True,Bay Area
John McCall,rjmccall,,True,
Brent Royal-Gordon,brentdax,,True,"Cupertino, CA"
Robert Widmann,CodaFi,https://twitter.com/CodaFi_,True,Pittsburgh
Jordan Rose,jrose-apple,,True,
Gogul Balakrishnan,bgogul,https://www.cs.wisc.edu/~bgogul,True,
Jordan Rose,jrose-apple,,False,
Nathan Hawes,nathawes,,True,"Cupertino, CA"
Andrew Trick,atrick,,False,
Karoy Lorentey,lorentey,https://twitter.com/lorentey,True,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Jordan Rose,jrose-apple,,True,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Pavel Yaskevich,xedin,http://tinkerpop.com,False,"Cupertino, CA"
Xi Ge,nkcsgexi,https://twitter.com/xge_apple,True,"Cupertino, CA, USA"
Jordan Rose,jrose-apple,,True,
Félix Cloutier,zneak,http://felixcloutier.com/,True,Hyrule
Max Moiseev,moiseev,http://twitter.com/moiseev,True,"Cupertino, CA"
Dennis Vennink,dennisvennink,,False,"Rotterdam, The Netherlands"
Mishal Shah,shahmishal,swift.org,True,"Fremont, CA"
Mishal Shah,shahmishal,swift.org,True,"Fremont, CA"
,marcrasi,,True,
Brent Royal-Gordon,brentdax,,False,"Cupertino, CA"
Brent Royal-Gordon,brentdax,,True,"Cupertino, CA"
Graydon Hoare,graydon,,True,"Vancouver, BC"
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Greg Parker,gparker42,http://sealiesoftware.com/blog/,True,
Harlan Haskins,harlanhaskins,https://www.harlanhaskins.com,True,"Cupertino, CA"
John McCall,rjmccall,,True,
John McCall,rjmccall,,True,
Gogul Balakrishnan,bgogul,https://www.cs.wisc.edu/~bgogul,True,
Harlan Haskins,harlanhaskins,https://www.harlanhaskins.com,True,"Cupertino, CA"
Xi Ge,nkcsgexi,https://twitter.com/xge_apple,True,"Cupertino, CA, USA"
Saleem Abdulrasool,compnerd,,True,
Mark Lacey,rudkx,,True,San Francisco
Pavol Vaskovic,palimondo,http://pali.sk,True,"Kosice, Slovakia"
Xi Ge,nkcsgexi,https://twitter.com/xge_apple,True,"Cupertino, CA, USA"
Richard Wei,rxwei,,True,Bay Area
Harlan Haskins,harlanhaskins,https://www.harlanhaskins.com,True,"Cupertino, CA"
Saleem Abdulrasool,compnerd,,False,
,eeckstein,,True,
Mingsheng Hong,mhong,,True,
,marcrasi,,True,
Doug Gregor,DougGregor,,True,
Greg Parker,gparker42,http://sealiesoftware.com/blog/,True,
Nathan Lanza,lanza,http://www.lanza.io,True,"Mountain View, California"
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Doug Gregor,DougGregor,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Richard Wei,rxwei,,True,Bay Area
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Harlan Haskins,harlanhaskins,https://www.harlanhaskins.com,True,"Cupertino, CA"
Michael Ilseman,milseman,,True,
,eeckstein,,True,
Xi Ge,nkcsgexi,https://twitter.com/xge_apple,True,"Cupertino, CA, USA"
Mishal Shah,shahmishal,swift.org,True,"Fremont, CA"
Xi Ge,nkcsgexi,https://twitter.com/xge_apple,True,"Cupertino, CA, USA"
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
Pavel Yaskevich,xedin,http://tinkerpop.com,True,"Cupertino, CA"
,marcrasi,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Doug Gregor,DougGregor,,True,
Richard Wei,rxwei,,True,Bay Area
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Doug Gregor,DougGregor,,True,
Saleem Abdulrasool,compnerd,,True,
Argyrios Kyrtzidis,akyrtzi,,True,
,marcrasi,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Michael Gottesman,gottesmm,,True,"San Francisco, CA"
Argyrios Kyrtzidis,akyrtzi,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
Saleem Abdulrasool,compnerd,,True,
David Zarzycki,davezarzycki,http://znu.io/,True,"Ithaca, NY"
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Saleem Abdulrasool,compnerd,,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
Slava Pestov,slavapestov,https://factorcode.org/slava,True,
