korea,77
argentina,54
australia,744
austria,351
bangladesh,7
belarus,13
belgium,135
brazil,133
bulgaria,17
canada,2224
china,646
colombia,11
croatia,9
denmark,16
egypt,15
finland,54
france,1865
germany,935
hong kong,25
india,447
indonesia,16
ireland,38
israel,106
italy,262
japan,710
laos,0
mexico,78
netherlands,175
new zealand,129
norway,58
pakistan,21
panama,9
philippines,61
poland,194
portugal,82
romania,24
russia,482
singapore,56
slovakia,57
somalia,4
spain,193
sweden,188
switzerland,931
taiwan,49
thailand,18
turkey,149
ukraine,97
Undefined,3153
united kingdom,2489
united states,15862
uruguay,12
venezuela,12
cambodia,1
estonia,21
ghana,2
guatemala,1
iran,14
malta,21
morocco,10
nicaragua,12
south africa,86
angola,0
azerbaijan,0
blank field,21309
chile,10
costa rica,2
cuba,138
czechia,81
greece,45
hungary,66
mauritius,0
montenegro,1
nepal,5
norfolk island,0
slovenia,16
uganda,1
united arab emirates,5
vietnam,5
liberia,4
saudi arabia,4
nigeria,7
malaysia,23
dominican republic,11
iceland,6
timor-leste,1
kuwait,1
lithuania,11
fiji,1
kyrgyzstan,0
georgia,2
tunisia,4
congo (kinshasa),0
mongolia,0
kenya,4
algeria,2
macedonia,0
latvia,6
el salvador,1
jamaica,2
sri lanka,3
zimbabwe,0
afghanistan,3
moldova,4
liechtenstein,1
lebanon,58
luxembourg,5
armenia,1
cura袯,2
ecuador,0
peru,3
serbia,4
saint vincent and the grenadines,0
gibraltar,0
cyprus,2
bhutan,0
burma,0
kosovo,1
maldives,0
mozambique,0
paraguay,0
rwanda,1
kazakhstan,0
qatar,1
