country,prs,False,True
afghanistan,5,2.0,3.0
albania,1,,1.0
algeria,7,5.0,2.0
angola,1,1.0,
argentina,173,85.0,88.0
armenia,14,10.0,4.0
australia,1212,646.0,566.0
austria,283,108.0,175.0
azerbaijan,5,5.0,
bangladesh,65,57.0,8.0
barbados,3,3.0,
belarus,105,56.0,49.0
belgium,296,161.0,135.0
bermuda,1,1.0,
bhutan,1,1.0,
bolivia,1,1.0,
botswana,1,1.0,
brazil,780,526.0,254.0
brunei,1,1.0,
bulgaria,82,56.0,26.0
burma,7,7.0,
cabo verde,1,,1.0
cambodia,1,,1.0
canada,2301,1478.0,823.0
chile,30,21.0,9.0
china,1860,1133.0,727.0
colombia,76,48.0,28.0
congo (kinshasa),1,1.0,
costa rica,5,3.0,2.0
croatia,41,31.0,10.0
cuba,167,52.0,115.0
cura袯,5,3.0,2.0
cyprus,18,10.0,8.0
czechia,188,133.0,55.0
c𴥠dӊvoire,3,2.0,1.0
denmark,272,143.0,129.0
dominican republic,25,14.0,11.0
ecuador,6,5.0,1.0
egypt,34,27.0,7.0
el salvador,5,4.0,1.0
estonia,63,39.0,24.0
ethiopia,3,3.0,
fiji,4,3.0,1.0
finland,295,186.0,109.0
france,2053,1110.0,943.0
french guiana,1,1.0,
french polynesia,1,1.0,
georgia,12,9.0,3.0
germany,2757,1517.0,1240.0
ghana,43,31.0,12.0
gibraltar,2,2.0,
greece,122,62.0,60.0
guatemala,2,1.0,1.0
hong kong,128,70.0,58.0
hungary,81,40.0,41.0
iceland,21,15.0,6.0
india,2590,1665.0,925.0
indonesia,107,78.0,29.0
iran,71,53.0,18.0
iraq,1,1.0,
ireland,128,85.0,43.0
israel,297,167.0,130.0
italy,263,174.0,89.0
jamaica,4,2.0,2.0
japan,1171,571.0,600.0
jersey,1,1.0,
kazakhstan,15,14.0,1.0
kenya,25,11.0,14.0
kosovo,1,,1.0
kuwait,10,8.0,2.0
kyrgyzstan,4,4.0,
laos,1,1.0,
latvia,19,10.0,9.0
lebanon,8,5.0,3.0
liberia,11,7.0,4.0
libya,3,3.0,
liechtenstein,3,2.0,1.0
lithuania,35,20.0,15.0
luxembourg,51,37.0,14.0
macedonia,24,21.0,3.0
madagascar,1,1.0,
malaysia,57,32.0,25.0
maldives,2,2.0,
malta,229,201.0,28.0
mauritius,5,5.0,
mexico,133,71.0,62.0
moldova,14,13.0,1.0
monaco,1,1.0,
mongolia,154,153.0,1.0
montenegro,2,1.0,1.0
morocco,44,19.0,25.0
mozambique,1,1.0,
nepal,21,16.0,5.0
netherlands,942,632.0,310.0
new zealand,576,346.0,230.0
nicaragua,6,1.0,5.0
nigeria,32,23.0,9.0
norfolk island,9,6.0,3.0
norway,150,93.0,57.0
oman,9,4.0,5.0
pakistan,204,132.0,72.0
panama,21,11.0,10.0
paraguay,4,4.0,
peru,21,13.0,8.0
philippines,182,109.0,73.0
poland,650,483.0,167.0
portugal,272,154.0,118.0
romania,110,66.0,44.0
russia,846,516.0,330.0
rwanda,2,1.0,1.0
saint vincent and the grenadines,1,1.0,
saudi arabia,15,9.0,6.0
senegal,2,1.0,1.0
serbia,26,20.0,6.0
sierra leone,1,1.0,
singapore,183,111.0,72.0
slovakia,86,32.0,54.0
slovenia,56,39.0,17.0
somalia,9,5.0,4.0
south africa,117,59.0,58.0
south korea,325,131.0,194.0
spain,352,256.0,96.0
sri lanka,34,27.0,7.0
sweden,544,326.0,218.0
switzerland,432,234.0,198.0
syria,2,1.0,1.0
taiwan,362,202.0,160.0
thailand,153,105.0,48.0
togo,8,2.0,6.0
tunisia,8,4.0,4.0
turkey,176,123.0,53.0
uganda,29,11.0,18.0
ukraine,338,225.0,113.0
united arab emirates,32,24.0,8.0
united kingdom,3179,1649.0,1530.0
united states,14795,8219.0,6576.0
uruguay,55,37.0,18.0
uzbekistan,5,3.0,2.0
venezuela,37,25.0,12.0
vietnam,53,44.0,9.0
zimbabwe,1,1.0,
