country,qtd
afghanistan,3
albania,1
algeria,4
angola,1
argentina,54
armenia,10
australia,364
austria,93
azerbaijan,5
bangladesh,23
barbados,2
belarus,47
belgium,94
bermuda,1
bhutan,1
bolivia,1
botswana,1
brazil,339
brunei,1
bulgaria,37
burma,3
cabo verde,1
cambodia,1
canada,554
chile,16
china,758
colombia,32
congo (kinshasa),1
costa rica,5
croatia,24
cuba,33
cura袯,1
cyprus,7
czechia,57
c𴥠dӊvoire,2
denmark,109
dominican republic,15
ecuador,5
egypt,16
el salvador,5
estonia,23
ethiopia,1
fiji,2
finland,97
france,545
french guiana,1
french polynesia,1
georgia,8
germany,915
ghana,12
gibraltar,1
greece,49
guatemala,2
hong kong,38
hungary,39
iceland,13
india,696
indonesia,65
iran,39
iraq,1
ireland,74
israel,95
italy,106
jamaica,3
japan,377
jersey,1
kazakhstan,9
kenya,18
kosovo,1
kuwait,4
kyrgyzstan,3
laos,1
latvia,14
lebanon,4
liberia,9
libya,1
liechtenstein,2
lithuania,18
luxembourg,9
macedonia,5
madagascar,1
malaysia,17
maldives,1
malta,22
mauritius,3
mexico,53
moldova,6
monaco,1
mongolia,3
montenegro,2
morocco,11
mozambique,1
nepal,15
netherlands,370
new zealand,157
nicaragua,5
nigeria,26
norfolk island,4
norway,83
oman,1
pakistan,79
panama,16
paraguay,3
peru,9
philippines,100
poland,217
portugal,74
romania,53
russia,325
rwanda,1
saint vincent and the grenadines,1
saudi arabia,7
senegal,2
serbia,16
sierra leone,1
singapore,79
slovakia,17
slovenia,23
somalia,2
south africa,35
south korea,123
spain,158
sri lanka,17
sweden,197
switzerland,162
syria,1
taiwan,113
thailand,37
togo,1
tunisia,3
turkey,79
uganda,6
ukraine,152
united arab emirates,16
united kingdom,887
united states,4223
uruguay,29
uzbekistan,4
venezuela,16
vietnam,37
zimbabwe,1
