afghanistan,5,3,1.67
albania,1,1,1.0
algeria,7,4,1.75
angola,1,1,1.0
argentina,173,54,3.2
armenia,14,10,1.4
australia,1212,364,3.33
austria,283,93,3.04
azerbaijan,5,5,1.0
bangladesh,65,23,2.83
barbados,3,2,1.5
belarus,105,47,2.23
belgium,296,94,3.15
bermuda,1,1,1.0
bhutan,1,1,1.0
bolivia,1,1,1.0
botswana,1,1,1.0
brazil,780,339,2.3
brunei,1,1,1.0
bulgaria,82,37,2.22
burma,7,3,2.33
cabo verde,1,1,1.0
cambodia,1,1,1.0
canada,2301,554,4.15
chile,30,16,1.88
china,1860,758,2.45
colombia,76,32,2.38
congo (kinshasa),1,1,1.0
costa rica,5,5,1.0
croatia,41,24,1.71
cuba,167,33,5.06
cura袯,5,1,5.0
cyprus,18,7,2.57
czechia,188,57,3.3
c𴥠dӊvoire,3,2,1.5
denmark,272,109,2.5
dominican republic,25,15,1.67
ecuador,6,5,1.2
egypt,34,16,2.12
el salvador,5,5,1.0
estonia,63,23,2.74
ethiopia,3,1,3.0
fiji,4,2,2.0
finland,295,97,3.04
france,2053,545,3.77
french guiana,1,1,1.0
french polynesia,1,1,1.0
georgia,12,8,1.5
germany,2757,915,3.01
ghana,43,12,3.58
gibraltar,2,1,2.0
greece,122,49,2.49
guatemala,2,2,1.0
hong kong,128,38,3.37
hungary,81,39,2.08
iceland,21,13,1.62
india,2590,696,3.72
indonesia,107,65,1.65
iran,71,39,1.82
iraq,1,1,1.0
ireland,128,74,1.73
israel,297,95,3.13
italy,263,106,2.48
jamaica,4,3,1.33
japan,1171,377,3.11
jersey,1,1,1.0
kazakhstan,15,9,1.67
kenya,25,18,1.39
kosovo,1,1,1.0
kuwait,10,4,2.5
kyrgyzstan,4,3,1.33
laos,1,1,1.0
latvia,19,14,1.36
lebanon,8,4,2.0
liberia,11,9,1.22
libya,3,1,3.0
liechtenstein,3,2,1.5
lithuania,35,18,1.94
luxembourg,51,9,5.67
macedonia,24,5,4.8
madagascar,1,1,1.0
malaysia,57,17,3.35
maldives,2,1,2.0
malta,229,22,10.41
mauritius,5,3,1.67
mexico,133,53,2.51
moldova,14,6,2.33
monaco,1,1,1.0
mongolia,154,3,51.33
montenegro,2,2,1.0
morocco,44,11,4.0
mozambique,1,1,1.0
nepal,21,15,1.4
netherlands,942,370,2.55
new zealand,576,157,3.67
nicaragua,6,5,1.2
nigeria,32,26,1.23
norfolk island,9,4,2.25
norway,150,83,1.81
oman,9,1,9.0
pakistan,204,79,2.58
panama,21,16,1.31
paraguay,4,3,1.33
peru,21,9,2.33
philippines,182,100,1.82
poland,650,217,3.0
portugal,272,74,3.68
romania,110,53,2.08
russia,846,325,2.6
rwanda,2,1,2.0
saint vincent and the grenadines,1,1,1.0
saudi arabia,15,7,2.14
senegal,2,2,1.0
serbia,26,16,1.62
sierra leone,1,1,1.0
singapore,183,79,2.32
slovakia,86,17,5.06
slovenia,56,23,2.43
somalia,9,2,4.5
south africa,117,35,3.34
south korea,325,123,2.64
spain,352,158,2.23
sri lanka,34,17,2.0
sweden,544,197,2.76
switzerland,432,162,2.67
syria,2,1,2.0
taiwan,362,113,3.2
thailand,153,37,4.14
togo,8,1,8.0
tunisia,8,3,2.67
turkey,176,79,2.23
uganda,29,6,4.83
ukraine,338,152,2.22
united arab emirates,32,16,2.0
united kingdom,3179,887,3.58
united states,14795,4223,3.5
uruguay,55,29,1.9
uzbekistan,5,4,1.25
venezuela,37,16,2.31
vietnam,53,37,1.43
zimbabwe,1,1,1.0
