country,total
afghanistan,1
albania,1
algeria,1
argentina,19
armenia,3
australia,105
austria,40
bangladesh,1
belarus,16
belgium,19
brazil,80
bulgaria,7
cabo verde,1
cambodia,1
canada,184
chile,6
china,174
colombia,7
costa rica,2
country,1
croatia,3
cuba,6
cyprus,2
czechia,10
denmark,26
dominican republic,5
ecuador,1
egypt,2
el salvador,1
estonia,10
finland,30
france,156
georgia,3
germany,285
ghana,2
greece,11
guatemala,1
hong kong,15
hungary,11
iceland,2
india,150
indonesia,13
iran,5
ireland,21
israel,18
italy,27
jamaica,1
japan,148
kazakhstan,1
kenya,8
kosovo,1
latvia,5
liberia,3
liechtenstein,1
lithuania,5
luxembourg,4
macedonia,2
malaysia,5
malta,5
mexico,19
moldova,1
montenegro,1
morocco,1
nepal,4
netherlands,91
new zealand,49
nicaragua,4
nigeria,7
norfolk island,1
norway,23
pakistan,11
panama,7
peru,2
philippines,27
poland,48
portugal,25
romania,18
russia,90
saudi arabia,1
senegal,1
serbia,3
singapore,31
slovakia,2
slovenia,6
south africa,8
south korea,38
spain,35
sri lanka,3
sweden,62
switzerland,47
taiwan,32
thailand,14
turkey,9
uganda,2
ukraine,42
united arab emirates,4
united kingdom,265
united states,1318
uruguay,6
uzbekistan,1
venezuela,6
vietnam,4
