korea,51
argentina,38
australia,251
austria,59
bangladesh,17
belarus,24
belgium,48
brazil,177
bulgaria,20
canada,328
china,367
colombia,17
croatia,15
denmark,29
egypt,12
finland,59
france,333
germany,516
hong kong,18
india,304
indonesia,43
ireland,58
israel,46
italy,51
japan,209
laos,1
mexico,43
netherlands,168
new zealand,91
norway,43
pakistan,38
panama,12
philippines,56
poland,142
portugal,42
romania,32
russia,232
singapore,41
slovakia,8
somalia,1
spain,90
sweden,109
switzerland,111
taiwan,50
thailand,22
turkey,44
ukraine,75
Undefined,1942
united kingdom,577
united states,2714
uruguay,21
venezuela,13
cambodia,1
estonia,19
ghana,5
guatemala,2
iran,26
malta,17
morocco,10
nicaragua,4
south africa,30
blank field,4361
hungary,20
vietnam,12
greece,30
czechia,37
liberia,9
cuba,11
serbia,9
united arab emirates,7
moldova,5
lithuania,14
luxembourg,5
saint vincent and the grenadines,1
latvia,7
dominican republic,10
kazakhstan,2
slovenia,19
malaysia,9
nepal,9
sri lanka,10
nigeria,15
chile,10
peru,6
cyprus,2
saudi arabia,4
uganda,4
iceland,8
azerbaijan,3
timor-leste,1
kuwait,3
fiji,1
kyrgyzstan,2
georgia,5
tunisia,2
congo (kinshasa),1
mongolia,2
kenya,8
algeria,4
macedonia,2
norfolk island,2
ecuador,1
armenia,4
zimbabwe,1
costa rica,4
afghanistan,3
jamaica,3
liechtenstein,1
lebanon,3
cura袯,1
angola,1
mauritius,1
montenegro,2
gibraltar,1
el salvador,3
paraguay,2
TRUE,1
Pasadena,1
Paris France,1
Shanghai,1
Taiwan,1
qatar,1
bhutan,1
burma,1
kosovo,1
maldives,1
mozambique,1
rwanda,1
