pais,total
france,2538
congo,1
czechia,165
peru,11
cyprus,3
germany,1676
finland,100
uzbekistan,1
cura,5
mauritius,2
armenia,5
indonesia,35
hong kong,35
spain,373
kazakhstan,3
timor-leste,3
sweden,377
thailand,31
chile,10
cambodia,1
zimbabwe,1
taiwan,90
gibraltar,2
somalia,8
costa rica,3
japan,1232
uganda,3
austria,415
greece,74
estonia,40
denmark,24
switzerland,1344
south africa,129
united kingdom,3432
guatemala,2
montenegro,1
colombia,20
philippines,110
iran,43
netherlands,426
nigeria,12
serbia,7
liechtenstein,1
dominican republic,20
poland,398
malaysia,5
slovenia,46
croatia,22
qatar,1
belarus,31
united states,20833
kyrgyzstan,3
mongolia,3
moldova,19
russia,874
vietnam,8
china,1051
argentina,97
india,875
lithuania,26
sri lanka,5
cuba,155
norway,90
afghanistan,3
tunisia,6
australia,1216
laos,1
blank field,27598
singapore,101
bangladesh,48
uruguay,33
georgia,3
BR,379
morocco,10
united arab emirates,7
el salvador,1
azerbaijan,3
korea,122
pakistan,58
israel,204
egypt,9
nepal,5
hungary,113
turkey,250
venezuela,13
italy,334
norfolk island,5
luxembourg,12
ireland,120
kenya,6
canada,2902
belgium,212
paraguay,2
fiji,3
portugal,149
nicaragua,13
malta,53
panama,15
zambia,4
saudi arabia,8
algeria,4
angola,1
liberia,10
new zealand,250
Undefined,5978
ukraine,218
ecuador,2
ghana,6
romania,36
mexico,168
bulgaria,35
lebanon,69
macedonia,5
kuwait,8
saint vincent and the grenadines,1
jamaica,4
latvia,7
iceland,14
slovakia,71
